餐廳名稱,消費時間,餐廳區域,餐廳地址,營業時間,電話,平均價位,推薦菜色
阿婆QQ地瓜球,2018年/2月,台中,台中市中區中華路一段77號,平日17：30-02：00,,,
真好味烤鴨莊,2017年/11月,台中,台中市西區美村路一段214號,10:00-19:00,(04)2302-2202,,
Session隨選餐館,2018/02,台中,台中市西屯區精明路29號,12:00~14:30、17:30~21:30(周一公休),(04)2320-0925,,
泰爺爺泰國料理,2017 12,台中,台中市綠川西街135號三樓R355位置,,0980 365 257,,
范記金之園草袋飯,2017/9/6,台中,台中市中區成功路170號, 11:00-19:30(周四休),04-22207388,,
阿三哥滷味,2018年/3月,台中,台中市西屯區文華路6-3號,17:30-01:00,0932-646960,,
三時福利社,2017年/9月,台中,台中市西區民生路356號1 樓,11:00~18:30,04-2301-7301,,
Smoker 煙燻咖啡,2017/09,台中,台中市西區模範街1巷13號,,04-23020813,每人平均價位：250,
祥富水產沙茶火鍋超市,2018年/03月,台中,台中市北區三民路三段161號B3,11:00-22:00,(04)2225-3456,,
鎮新記,2018年/2月,台中,台中市西屯區文華路71號,16:00~00:00,0915-896-008,,
勝里日式炸豬排 Katudon No Katusato,2018年/03月,台中,台中市西屯區台灣大道3段251號12樓,,04-3702-3168,,
人間食解,2017年/9月,台中,台中市沙鹿區福至路268巷161號,11:00-21:00,04-2636-4111,,
二火咼臭豆腐&大腸麵線,2018年/3月,台中,台中市北屯區大連路三段141號,15:00-21:30(星期日公休),04 2243 1652,,
古早味手工蛋餅 三喜蛋餅,2018.02,台中,台中市北區太平路58號,05:30~13:30,0912-546-989,,
拾年咖啡,,台中,台中市西區向上路一段289巷2號,12:00-21:00（週四公休）,,每人平均價位：每人約250-500元,
聯亭泡菜鍋,2017年/12月,台中,台中市西屯區福星北路29號,11:30–22:30, 04 2451 5167,,
TSUTA蔦拉麵（台中J Mall店）,2017年/12月,台中,台中市西屯區臺灣大道4段1038號1樓（J Mall）,週日至週四：11:00-21:30  週五週六：11:00-22:00,（04）2462-3078,,
給孤獨者書店,2017年/12月,台中,台中市西區民生路368巷4弄2號2樓 (在4弄8號的樓上),三、四、五 14:00-20:00／六、日 11:00-20:00／週一、週二公休,未提供,,
聯亭泡菜鍋,2017年10月,台中,台中市西屯區福星北路29號,11:30~22:30(週一至週五)、11:00~22:30(週六、週日),04-245151167,,
風間燒肉,2017年/7月,台中,台中市公益路二段171-1號,週二17:30~00:00 其餘時間11:30~16:00  17:30~00:00,04 2328 1855,,
与玥樓 頂級粵菜餐廳,2017年/6月,台中,台中市南屯區公益路二段783號,11:30~14:30；17:30~21:30,04-2382-9128,,
李記蔥抓餅,2018年/2月,台中,台中市豐原區中正路10號騎樓,11:00-19:30,0919-150921,,
大甲芋頭城,2017年/11月,台中,台中市西屯區福星路461巷2-2號,13:00~01:00,04-2452-5817,,
海盜與公主燒烤雞排,2018年/2月,台中,台中市豐原區圓環東路809號,15:00-22:00,(04)2515-6195,,
赤鬼炙燒牛排 崇德店,2017年/12月,台中,台中市北屯區文心路四段603號,11:00 - 23:00,(04) 2242-9933,,
Hero Restaurant,2017年/11月,台中,台中市西區五權一街57號,,0966 533 993,每人平均價位：2450元加一成，果汁paring 600元加一成,
阿源旗魚飯,2018年/1月,台中,台中市北區健行路93號,11:00-13:30  16:00-18:30（不確定）,（04）2236-1280,,
凱焱鐵板燒,2017年/9月,台中,台中市南屯區五權西路二段171號,AM11:30~PM2:00  PM5:30~PM10:00,04-24723456,,
光の乳酪,2018年/01月,台中,台中市西區館前路73號,11:00 - 21:30,04 2329 5797,,
Le NINI 樂尼尼義式餐廳,2017/11月,台中,台中市北屯區廍子里廍子巷5-11號,11:30~22:00,04 2239 9511,,
鵝鴨食堂,2017年/10月,台中,台中市西屯區文華路五巷20號,17:00-00:00 (週二公休),(04)2451-9485,,
,2018年/03月,台中,台中市北區精武路326號,11:30-01:30 周一公休,(04) 2226-6521,,
海丸子章魚燒,2018年/4月,台中,台中市西屯區文華路127巷,17:30賣完為止,0985-470369,,
立食大丈夫/雷亭拉麵永興店,2017年/10月,台中,台中市南屯區公益路二段136-1號(大丈夫),,04 2327 8166(立食大丈夫)/0970 515 583(0970 515 583),,
繼光香香雞總店,2017年/11月,台中,台中市中區繼光街91號,,,,
鹽水麵店,2017年/11月,台中,台中市西區中興街109號,11:30-15:30 、17:30-20:30(周一公休),04 2302 3112,,
潘朵拉之宴 [公益店],2017年/9月,台中,台中市南屯區公益路二段21號,週一至週五 11:00–15:00 | 17:00–22:00,04-2320-1880,,
初米咖啡,107年/1月,台中,404台中市北區三民路三段54巷1號,每天10點~21點(無公休日、有休息會在粉絲團公告),04-22298981,,
小豚輕食,,台中,台中市西區忠勤街341號,11:00~17:30（週一公休）,,每人平均價位：150-350元,
LR CAFE,,台中,台中市烏日區高鐵一路299號,週一至五09:00~18:00，週六09:00~17:00（週日公休）,,每人平均價位：每人約80-200元,
好品味牛肉麵,2018年/02月,台中,台中市大里區東榮路159號,10:30-20:00,（04）2483-0755,,
台中站前食堂,2018年/3月,台中,台中市東區新民街88號,11:00~22:00,(04)2225-8100,,
時光咖啡,,台中,台中市龍井區藝術街61巷9號,12:00~19:00,,每人平均價位：150-350元,
小樂圓oden good和洋餐食,2018年/2月,台中,台中市西區精誠七街17號,11:00-21:00,( 04 ) 2323-3888,,
一幻拉麵中友店,107年1月,台中, 台中市北區三民路三段161號中友百貨A棟,,04-22291379,每人平均價位：250,
有點甜,017.11.27,台中,台中市北區五常街261巷18號,"11:00-19:00, 公休日期見粉絲頁",0925-015231,,
大祥海鮮燒鵝餐廳,2017年/12月,台中,台中市西屯區漢口路一段47號,11:00-14:00、17:00-22:00,04 2312 1067,,
Two兔CAFE,2017年11月月,台中,台中市清水區吳厝路370巷5號,一三四17:00~01:00,0909-677-222,,
和旺鍋燒店,2018年/03月,台中,台中市大里區義民路二段255號,11:00-14:00 16:30-21:00,(04)2482-3179,,
旅禾泡芙之家,2018年/2月,台中,台中市西區民生路358號,11:00~20:00,(04)2301-1911,,
THAI J,2017年/10月,台中,台中市南屯區大墩路533號,,04 23203597,,
可可庫奇甜點工坊,2017年/12月,台中,404台中市北區三民路三段201巷7號,10:30–20:00,0928 170 707,,
清美小吃部,2017年/11月,台中,台中市東勢區豐勢路中盛巷27號,星期一、二公休,04 2587 4532,,
暮藏和牛鍋物,2017年/12月,台中,台中市西區華美街390號,AM11:00~PM2:00  PM5:00~PM11:00,04-23260399,,
玖食鐵板牛排Juicy Steak,106/10,台中,台中市大里區德芳路二段9號,週一至周日上午11:30~22:00,04-2407-2285,,
米川食堂,2018年/03月,台中,402台中市南區復興路二段82號,"11:00–13:30, 17:00–19:30", 04 2260 8500,,
鄭爌肉飯,2018年/2月,台中,台中市后里區三豐路三段955號,10:30~14:30/16:30~20:00,04-25578877,,
異鄉人日本食堂,2017年/10月,台中,台中市西區向上北路165號,11:30～14:00、17:30～21:00,(04)2301-9273,,
18%雞蛋糕,,台中,台中市西區美村路一段150號,14:00~20:00,,每人平均價位：每人約50元,
海底撈,106年/12月,台中,台中市西屯區台灣大道251號12樓南棟,11:00am-03:00am,0422540250,,
老豆府麻辣火鍋&白玉養生鍋,2017年/7月,台中,台中市西屯區東興路三段299號,11:30~03:00,04-2326-8655,,
布娜飛比利時啤酒餐廳BravoBeer(台中新時代店),2018/03,台中,台中市東區復興路四段186號10樓,11:00~22:00,(04)2220-1368,,
Two兔CAFE,2017年/9月,台中,436台中市清水區吳厝路370巷5號,平日17:00–01:00 假日15:00–01:00,0909 677 222,,
陳素食鹽酥雞,2018年/3月,台中,台中市西屯區西屯路二段279之5號,18:00-23:00(周一、周四公休),0931-519289,,
濟州Mr.KIM韓式炸雞,2018年/03月,台中,台中市大里區大里路103號,11:00-13:45 17:00-20:45,(04) 2483-2917,,
雅淳水果茶 一中店,2017年/10月,台中,台中市北區三民路三段114號,11:00 ~22:00,0908-995099,,
麵屋虎徹逢甲店,2018年/2月,台中,台中市西屯區福星北三街20號,11:30-14:00   17:00-21:30,（04）2452-9459,,
老阿太麵館,2018年/1月20號,台中,台中市西區中興街341號,11:00–14:00；17:00–20:00,04 2323 8558,,
統一爌肉飯,2017年/10月,台中,台中市東區和平街上(大智路與和平街交叉口),,,,
Thai J 泰式料理,2017/10,台中,台中市南屯區大墩路533號,1100-2200,04-2320-3597,,
海邊小屋乾燒蛤專賣店,2017年12月,台中,台中市西屯區文華路121-12號,晚上六點至晚上十一點,0937708178,,
「亞尼克」台中西屯店,,台中,台中市西屯區西屯路二段57號,平日10:00~21:30，週五至日10:00~22:00,,每人平均價位：每人約250-500元,
BELUGA餐酒館,2017年/9月,台中,台中市西屯區上安北街36號,,,,
口力口里 迷人燒飯,2017年/7月,台中,台中市南區復興路一段359號B1,週一-週日 ?11:00-21:00,04 2265 9900,,
牛排大叔大塊牛排專賣店(逢甲店),2017年/11月,台中,台中市西屯區福星北路35號, 11:30–22:00,04 2708 3719,,
屋馬燒肉 園邸店,107年2月,台中,台中市西區公益路111號,,04-2301-3000,每人平均價位：800~1000元,
屋馬燒肉 (中港店),2018/01,台中,台中市西屯區台灣大道三段300號,11:00 ~ 00:00,(04) 2312-1000,,
La : tRee brunch 樹兒早午餐,2017/11,台中,台中市西區博館路223號,,04-2314-8121,每人平均價位：139up,
Right Cafe 對了 x 出發,2017年/10月,台中,台中市西區五權西四街13巷14號,8am - 17pm,04-23782861,,
高美 Gaomei 台灣專業手扒雞,2017.09,台中,台中市清水區美堤街158號,11:00–19:30,04-2611-1115,,
特一巧滷味專賣店,2018年/2月,台中,台中市中區繼光街70號,11:00-22:00（週日公休）,0915-096-181,,
森及茶 一中尊賢店,2018年/10月,台中,台中市尊賢街22號,1030-2230,04-22292309,,
DM CAFE咖啡,18年/06月,台中, 403台中市西區民生路225巷11號," 09:00–18:00, 星期日12:00–18:00, 星期二 休息",04 2372 6807,,
Gotcha bbq&grill,2018年/7月,台中,台中市西屯區福順路877號,,0902-383-877,,
3Q芋圓,,台中,台中市東勢區東關路七段636號,11:00~21:00,,每人平均價位：每人約40-120元,
屋超低溫生魚片,2018年9月,台中,台中市西屯區大安街20號, 17：00~23:30,04-23276839 (可訂位),,
肆月捌 x DaKuaiDai甜室,2018年/7月,台中,台中市西區向上路一段十七巷一弄十二號,11:00~20:00 周四休,0979-990408,,
金媽媽泡菜,,台中,台中市東勢區上城街191巷8號,07:00~21:00,,每人平均價位：每人約170-600元,
大甲芋頭城,2018年/7月,台中,台中市西屯區福星路461巷2-2號,13:00~01:00,04-2452-5817,,
花吧flower 8,2018年/9月,台中,407台中市西屯區大墩二十街57-1號,17:00-00:00,04-23109870,,
聯歡小西門,2018年/9月,台中,台中市西區太原路一段46號,11:00-13:30(週日公休),(04)2313-4267,,
美村豆花,2018年/8月,台中,台中市西區明義街1號,12:00–22:30,04 2329 2488,,
上海灘租界地,,台中,台中市南屯區大業路244號,11:30~22:30,,每人平均價位：每人約300-500元,
LEO CHIU 樂丘廚房,2018.07,台中,台中市龍井區台灣大道五段3巷62弄13號,11:00~21:00,04-2652-8300,,
沒有名字的咖啡館,2018.12.1,台中,台中市西區公益路174巷212號,13:00~20:00(週三公休),無,,
屋馬燒肉文心店,2018年/8月,台中,台中市南屯區文心路一段436號,11:00–00:00,04 2310 6699,,
楊家北屯肉圓 榨菜麵線,2018年/11月,台中,台中市北屯區進化北路37之1號,10:00–18:00,,,
Carbone南義式手工披薩專賣店,2018年/8月,台中,台中市西區存中街24號,12:00-20:30,04-2376 5258,,
BRICS金磚極品牛排,2018/05,台中,407台中市西屯區惠中路二段57號,,,,
阿霞豬肝麵,2018年/9月,台中,台中市西屯區光明路91-3號,06:00-20:00(週一公休),(04)2701-3128,,
GOTCHA BBQ&Grill,2018年/10月,台中, 台中市西屯區福順路877號,,0902-383-877,,
憲賣咖啡(華美店),2018/11,台中,台中市西區華美街412號,8:30~18:30 (周四公休，周五~日延長營業至19:30),(04)2326-8681,,
阿坤黑粉圓,2018年/11月,台中,台中市北屯區進化北路41號,09:30–18:00,04-2236-7123,,
京田日式涮涮鍋,2018年/9月,台中,台中市大甲區義和二街11號,11:00–14:00 17:00–21:00,04-2680-1166,,
私肉羹slogan,2018年/10月,台中,台中市北屯區北屯路212巷5號,11:00-19:30(每星期四店休，隔週休星期三四),04 2233 3200,,
千錘新瀉醬豬排,2018年/07月,台中, :台中市北區三民路三段161號A棟B3,11:00-22:00,04 22256822,,
山東老牌水餃牛肉麵,2018年/11月,台中,台中市西屯區長安路二段38號,AM11:00~PM9:30,,,
淺草 來來軒 日式拉麵,2017年/6月,台中,台中市沙鹿區北勢東路727號,,0930-535-768,,
東來瓷筒米糕中清店,2018年/11月,台中,台中市北屯區中清路二段166號,16:00~02:00 週日公休,,每人平均價位：60,
burger joint 7分so,2018年/6月,台中,台中市西區華美街410號,假日08:00~22:00 一到五 08:30~22:00,04-23267339,,
鼎泰豐-台中大遠百店,2018年10月,台中,台中市西屯區台灣大道三段251號 台中大遠百B2,平日11-22時 假日1030-2200,04-37022168,,
村口微光,2018年/10月,台中,台中市西屯區逢甲路72巷11號,11:00-14:00，17:00-21:00,(04)2452-1688,,
蒔初甜點 五權旗艦店,2018年/7月,台中,台中市西區五權西六街69號,11:00~19:00,04-23753767,,
「琉 RYU SHAVED ICE」日式剉冰,,台中,台中市霧峰區大同路40號,平日12:00~19:00 ，假日11:00~18:00,,每人平均價位：每人約120-240元,
WOO Taiwan 台中米平方店,2018.06,台中,台中市西屯區國安一路168號B1-5,11:00~22:00,04-2462-1288,,
霧峰「鄒記餡餅」,,台中,台中市霧峰區中正路916號（7-11騎樓）,15:00~19:00,,每人平均價位：每人約40-100元,
明男の厨房,2018/10,台中,台中市北區梅亭街252號,11:30~14:30、17:30~21:30 (周二公休),(04)2233-9201,,
Belle Epoque美好年代,2018年/11月,台中,台中市模範街31巷7弄7號,12：00~售完為止(試營運期間),(04)2302-0330,,
激旨燒鳥,2018年/09月,台中,407台中市西屯區文華路150巷18號,17:00–00:00,04-2451-8666,,
花甜囍室,2018年08月,台中,台中市北區健行路958號,11:00 - 20:00, 04-23262393,,
一膳ichizen(台中市政店),2018/09,台中,台中市西屯區市政路567號,11:30~14:30、17:30~22:00 (周末下午不休息),(04)2258-3280,,
滝禾製麵所,2018年7月,台中,台中市太平區中山路四段216號,1700~2400,04-23950145,,
屋馬燒肉 | 中港店,2018年09月,台中,407 台中市西屯區台灣大道三段300號,11:00–00:00,04-2312-1000,,
成真咖啡(台中東海JMall店),2018/09,台中,台中市西屯區台灣大道四段1038號(JMall 2F),10:00~22:00,(04)2463-4898,,
郭姐茶坊,2018年/7月,台中, 台中市西屯區福星路615號,每周一公休  11:00~23:00, 0900 265 677 他們可以外送喔,,
Miano 米亞諾餐桌計畫,2018年/9月,台中,台中市西區大墩十一街 113號,07:30~19:30 周三休,0905-232665,,
肉肉爌肉,2018年/03月,台中,台中市大里市益民路二段259號,1100-2100,（04）2482-4558,,
Hello 小森,2018年/6月,台中,台中市南屯區同心里大英街9號,一~四 10:00~15:00  五~日 10:00~15:00 17:30~20:00 周二休,04-24736171,,
PUFF BALL泡芙球,2018年/12月,台中,台中市西區精明一街60號,12:30-20:00,(04)2326-5324,,
米藍餐盒販賣所,2018年/8月,台中,台中市西屯區櫻花路48號,一到五 11:30-15:00,0980-312-302,,
夏爾Shire早午餐,2018年/7月,台中,404台中市西區民生北路126號 (台中有兩間店),10:30-21:30,  04 2301 6086,,
in's cafe,,台中,台中市北屯區祥順路二段396號,11:00~18:00（週一週二公休）,,每人平均價位：每人約150-350元,
12MINI經典獨享鍋,2018年/10月,台中,台中市南屯區公益路二段171號1樓,11:00-00:30,(04)2322-1312,,
富士山55沾麵 (公益路分店),2018年/8月,台中,台中市南屯區公益路二段171-2號,,,,
火板大叔韓國烤肉,2018年/7月,台中,40446台中市北區五常街54號,17:00-22:00，周一公休, 04 2206 0933 (店裡位置少，建議先預約),,
SIANG HAO PATISSERIE,2018年/10月,台中,台中市西屯區太原路一段195號,12:00~21:00（週二公休）,（04）2313-1224,,
Woosa 屋莎鬆餅屋,2018年/7月,台中,台中市西屯區台灣大道三段251號3樓 台中大遠百,11:00~22:00,04-2254-4526,,
但馬屋 台中三井outlet店,2018/12,台中,台中市梧棲區臺灣大道十段168號(台中三井outlet二樓誠品書局對面),11:00 - 21:00,(04)2656 - 6378,,
窩巷-Hidden Lane,2018年/12月,台中,台中市西區大全街一號,上午11:00 - 下午6:30(三四公休),04 2377 0008,,
富貴亭飲食店,2018年/8月,台中,台中市中區三民路二段18巷31號,11:00~21:00,04-2227-3001,,
小島3.5度,2018年/9月,台中,台中市北屯區經貿三路二段82號,一~四 11:00-20:30; 五~日 11:00-21:00 (每日14:30-15:00清場消毒),04-24257070,,
歐森廚房,2018年/04月,台中,台中市大里區國光路二段145號,06:30-14:00 周四公休,(04) 2407-3122,,
瑞記海南雞飯（台中中港店）,,台中,台中市西屯區台灣大道三段301號12樓,11:00~22:00,,每人平均價位：每人約180-350元,
岩谷新鐵板料理 大墩店,2018年/6月,台中,台中市南屯區大墩路533號2樓,"周一-周五 11:30–14:30, 17:00–22:00/六日 11:30–22:00",04 2320 0916,,
春花秋實 海鮮和牛鍋物,2018年05月,台中,店家地址：台中市南屯區永春東七路845號2樓,11：30～22：00,店家電話：04 238 03977／04 238 07732,,
好豆堂商號,2018 年/ 7 月,台中,台中市西區模範街15-2號,11:00~21:00,04-2305 9986,,
Smokey Joe's 冒煙的喬 國美店,2018年/5月,台中,台中市西區梅川西路一段7號,11:00~22:00,04-23753990,,
台中南區仁義街的一家早餐店──3Q早午餐,2017年/1月,台中,台中市南區仁義街17號,,04-22851565,,
范記金之園草袋飯/美珍香純肉火腿,2018年/9月,台中,台中市中區成功路170號/台中市中區中山路87號,周一-周日11:00–19:30(周四公休)/周一-周日 10:00–20:00,04 2220 7388/04-22224258‧04-22228558,,
森川梅亭橫町,2018年/10月,台中,台中市北區梅亭街214號,平日11:00-14:00、17:00-21:00 假日11:00-14:30、17:00-21:30,04 2236 0868,,
水湳台中肉圓,2018年/11月,台中,台中市北屯區四平路27號,10:30–19:30 星期一公休,04-2297-2062,,
森森燒肉,2018/08,台中,台中市南屯區黎明路二段382號,11:00~22:30,(04)2258-2302,,
宇治商船 三星丸 抹茶鬆餅,18年/07月,台中, 404台中市西區館前路71號,11:00–21:00,04 2322 0159,,
魯肉莊,2018年/8月,台中,台中市南區忠孝路64-9號,,,,
清真恩德元餃子館,2018年/11月,台中,台中市南屯區文心路一段200號,周二至周日11:00-14:00、17:00-20:00 周一公休,04-24717240,,
Ｍａｍａｋ檔星馬料理（台中J-Mall店）,2018年/7月,台中,台中市西屯區台灣大道四段1038號,每日11:00～21:30（週五及週六至22:00）,(04)-24656666,,
野菜豐蔬食,2017年/6月+7月+9月,台中,台中北區,11:00-14:00 / 17:00-20:30,04-2207-0308,,
太初麵食,2018年/10月,台中,台中巿南屯區大墩路686號,11:00-0:00,04-23195101,,
酌酒。串燒居酒屋 吳留手台中店,2018年/9月,台中,台中市西區中興街111號(草悟道旁),周一-周日 18:00-01:00,04 2302 8611,,
Sigma西閣餐酒館,2018年/12月,台中,台中市南屯區大墩十五街11號,19:00–02:00，週五、六營業至03:00，週日公休。,無，可透過官方粉專留言訂位。,,
村口微光,2018年/11月,台中,台中市西屯區逢甲路72巷11號,11:00~14:00 ; 17:00~21:00,04 2452 1688,,
GOTCHA BBQ&GRILL,2018/09,台中,台中市西屯區福順路877號,12:00~14:00、18:00~21:00 (周五/六延長營業至23:00、周日/一公休),(0902)383-877,,
俺達の肉屋,2018年/6月,台中,台中市西區公益路192-1號,17:00~23:00,04-23250588,,
小麥菓子,2018/12,台中,台中市南屯區懷德街59巷6號,12:00~19:00 (周一、二公休),(04)2255-2933,,
12MINI經典獨享鍋,2018/11,台中,台中市南屯區公益路二段171號,11:00~00:30,(04)2322-1312,,
無邊界 No Boundary 噴泉牛肉堡,18年/06月,台中,403台中市西區五權西三街119號, 08:00–00:00,04 2372 3083,,
佳香越南美食,2018年/07月,台中,台中市大里區永興路276號,1100-2030 周日公休,(04) 2481-3069,,
鮮魚湯,,台中,（網路上標示的地址是 402 台中市南區學府路93號）,,,,
盛東餃子館,,台中,台中市東勢區第五橫街7號,11:20~13:30，17:00~19:30,,每人平均價位：每人約100-200元,
Kichi,2018.11.29,台中,台中市北屯區北屯路262巷1弄2號,10:00~18:00(週一週二公休),(04)2243 8108,,
第四橫街那家,,台中,台中市東勢區第四橫街39號,12:00~20:30（週一公休）,,每人平均價位：每人約100-150元,
格格府極品火鍋,2018年/4~12月,台中,台中市西區五權西四街136號,11:00~14:00、17:00~21:00,(04)2371-0680,,
春秋戰鍋,2018年/7月,台中,台中市大里區國光路二段409號,週一～週五 11:00-14:00,(04)-24180880,,
大坑店口虱目魚丸,,台中,台中市北屯區東山路二段1巷8弄,07:30~18:00,,每人平均價位：每人約100-200元,
五金女子行,2018.11.2018.11.15,台中, 406 台中市北屯區北屯路266-2號,13:00~18:00 (週一、週二公休),( 04 )2247 2137,,
咖啡任務,2018/10,台中,台中市南區忠明南路787號36樓,10:00-20:00,04-22659455,,
鏟子義大利餐廳,2018年/8月,台中,台中市西區中興街165號,11:30–15:00，17:30-22:00,04 2301 3996,,
滬舍餘味,107年/6月,台中,408台中市南屯區公益路二段537號,, 04 2258 6111,,
摩奇安娜咖啡館,2018年/8月,台中,台中市北屯區松竹五路二段43號,08:00–21:00（週二休）,(04) 2437-5037,,
KoDō和牛燒肉,2018年/9月,台中,台中市西區公益路260號,11:00-14:00，17:00-22:30,(04) 2376-6732,,
迦南園精緻日式涮涮鍋,2018年/9月,台中,台中市西屯區青海路二段221號,11:00–15:00，17:00–23:00,04 2706 9666,,
Kiito boutique,2018年/11月,台中,台中市西區大忠街70號,一~六 13:00~19:00 周日休,04-23202018,,
飛冰菓室,2018年/06月,台中,台中市北屯區天祥街19號(臺中市眷村文物館內),11:00–21:00(週一休息),04-2233-4073,,
春三朝午(青海上石店),2018年/8月,台中,台中市西屯區上石路179號,週一~週五：11:00~18:00、週六~週日：11:00~21:00, 04 2452 9855,,
三次魚屋第一支店,2018年/5月,台中,台中市北屯區北平路三段168號,11:00-14:00、17:00-21:00,04 2236 5878,,
黃記鵝肉,2018年/7月,台中,台中市中區大誠街58號,16:00–23:30 週二公休,04-2227-8822,,
沁園春,2018年/08月,台中,台中市中區台灣大道一段129號,11：00－14：00、17：00－21：00，每周一公休,04-22200735,,
鄭記爌肉飯,2018.05,台中,台中市后里區三豐路三段955號,"10:30–14:30, 16:30–20:00",04-2557-8877,,
Smoker 煙燻咖啡,2018/7,台中,台中市西區模範街1巷13號,平日 10:00-19:00 | 假日 9:00 - 21:00(週二公休）,04 23020813,,
Saladaeng Cafe,2018年/11月,台中,台中西區中興街81號,,,,
明倫蛋餅 中港JMall店,2018年/10月,台中,台中市西屯區台灣大道四段1038號,11:00-22:30,,每人平均價位：40元,
信義街無名湯包(天津苟不理湯包),2018年/9月,台中,台中市東區信義街63號,05:30–11:30,04 2220 1790,,
東萫來泰緬料理,2018年/11月,台中,台中市西屯區福上巷272號,"11:00–14:30, 17:00–21:30",04 2451 6578,,
輕井澤鍋物 公益店,107年6月,台中,台中市西區公益路276號,,(04)2327-4747,每人平均價位：NT200~500元,
資豐美食,2018年/4月,台中,台中市南屯區文昌街144號,,04-23803000,,
家鄉越南小吃,2018年/11月,台中,台中市西屯區長安路二段328號,,0963-452-029,,
豚將日本拉麵(北屯店),2018年/8月,台中,台中市北屯區東山路一段279號,11:00 - 14:00 、 17:00 - 21:30(星期三公休),04 2437 8313,,
藏壽司,2018/08,台中,台中市西屯區福科路231號,平日 11:00~22:00、假日 10:30~22:00,,每人平均價位：200~400,
皇宸饌小籠湯包(原名 皇盛祥),2018年/2月,台中,台中市北屯區北平路三段77號,,04-2237-1176,,
激旨燒鳥(台灣總店),2018/09,台中,台中市西屯區文華路150巷18號,17:00~00:00 (週五、六延長營業至01:00),(04)2451-8666,,
臻味登,2018/8月,台中,台中市太平區成功東路6號,06:00 - 12:00,04-2278-0859,,
小時代眷村美食,2018年/11月,台中,台中市西屯區青海路二段143號旁,06:30-13:30,0912-0671241,,
L.Z. Dessart 無框架甜點,2018/11,台中,台中市西區中興里中興街183號,12:00-21:00,04-23026865,,
阿木家。私房麵,2018年/11月,台中,台中市西屯區惠來路一段157號,10:30~20:00 周日休,04-22516817,,
浪浪別哭中途咖啡館 (台中),2018年7月,台中,台中市南屯區干城街214巷1號,週三 公休 週一~週日 11:00–19:30,04 2254 7018,,
瑞文戴爾手工甜點店,2018.9.25,台中, 台中市南屯區大墩十七街29號,12:00~19:30，禮拜三公休,04 2321 0602,,
美軍豆乳冰（向上店）,,台中,台中市西區向上北路219號,13:30~22:00,,每人平均價位：每人約80-200元,
夫妻臉甜點,2018/11,台中,台中市南屯區惠文路580號,13:00~19:00,(04)2251-2602,,
和牛割烹 牛若丸台中,2018年8月23日,台中,台中市西區精誠三街1號,17:30-00:00,04-23101689,,
Caff'e Terry,2018年/10月,台中,台中市南屯區大英街422號,11:00–23:00 週一公休,04-2320-7243,,
有點甜,2018/10,台中,台中市北區五常街261巷18號,12:00~19:00 (周三公休),0925-015231,,
Hero Restaurant,2018年/9月,台中,台中市西區五權一街57號,PM6:00~PM9:00 (周二三休),,,
劈飛利亞Pifferia,107年/9月,台中,台中市台中路62號,11:30~23:30    (每週二公休),04 2225 5535,,
海老麵場公園場,2018/7月,台中,台中市北區公園路104號,18:00 - 01:00,0987-467-526,,
矢羽珈琲,2018年/6月,台中,台中市西區精誠二十三街27號,13:30~18:30 周三休,04-24731300,,
赤鬼炙燒牛排台灣大道店,2018.10,台中,台中市西區台灣大道二段170號,11:00~23:00,04-2206-0078,,
 輕時代飲品製造所,2018年/7月,台中,台中市西屯區河南路二段336號,10:00~22:00,04-2452-9981,,
一風堂,2018年/10月,台中,台中市西屯區台灣大道三段301號10樓 ( 台中新光三越 10 樓 ),,04 2259 9122,,
Thai J,2018/12,台中,台中市南屯區大墩路533號,1100~2200, 04 2320 3597,,
食玩Food&Drink義大利麵專賣店,2018年/8月,台中,403台中市西區精美街42-1號,10:00-19:00 （週四為店休日）,04-2320-9565,,
天天饅頭,2018年/10月,台中,台中市中區台灣大道一段336巷,09:00~18:00（週一休）,04-22250868,,
Kiss morning啾你同享,2018/8,台中,台中市南屯區東興路二段124號,6：45~10：45（週日公休）,0908 680 286,,
港町十三番地 台中北屯太原店,2018年/6月,台中,台中市北屯區太原路三段1136-5號,周一-周日 11:30–1:30,04 2320 0916,,
Queue Coffee,2018年/11月,台中,台中市西屯區四川三街一號,08:00-20:00,04-2312-4738,,
饗食天堂(台中大遠百店),2018年/10月,台中,台中市西屯區台灣大道三段251號 (大遠百11樓),"11:30–14:00, 14:30–16:30, 17:30–21:30",04 2258 5006,,
八吋鍋,2018年/06月,台中,台中市大里區東榮路一段130號,1100-2200,(04)2486-6191,,
甘閣印度料理,2018年/7月,台中,台中市北屯區文心路四段721號,吃到飽時段  週五到週日的晚餐5點~9點,04 2247 0110,,
Platform13號月台蔬食咖啡廳,2018/7月-現在六次,台中,台中市南屯區大墩一街98號,早上9點-晚上9點,04 2473 7750,,
鬍丘,2018年/6月,台中,台中市西區五權西六街96巷12號,11:00–14:30 17:30–20:30 週一二三公休,04-2376-4115,,
JAI宅,2018年/7月,台中,台中市北區三民路三段125號,"10:00–15:30, 17:00–22:00",04 2227 8666,,
將將燒日式料理,2018/09,台中,台中市西區美村路一段236巷3號,11:30~14:30、17:30~21:00 (周一公休),(04)2305-0695,,
Nagi豚骨拉麵 凪 台中店,2018年/11月,台中,407台中市西屯區河南路三段120號 老虎城購物中心3F,11:00~22:00,04 3606 2511,,
